,phi_h,Ti,Ta,phi_s
900.0,3030.3030303030305,295.70567727869576,270.87421875,0.0
1800.0,3030.3030303030305,296.3689674474002,270.896875,0.0
2700.0,3030.3030303030305,296.68001185034456,270.91328125,0.0
3600.0,0.0,294.0505042196214,270.925,0.0
4500.0,3030.3030303030305,296.3277783290357,270.92421875,0.0
5400.0,0.0,293.98384036130886,270.915625,0.0
6300.0,0.0,293.06258613404304,270.88828125,0.0
7200.0,0.0,292.6492136389981,270.85,0.0
8100.0,3030.3030303030305,295.8152936672363,270.8,0.0
9000.0,3030.3030303030305,296.63099296006936,270.75,0.0
9900.0,3030.3030303030305,296.96542700920327,270.7,0.0
10800.0,0.0,294.3299867041622,270.65,0.0
11700.0,0.0,293.3395229867817,270.6,0.0
12600.0,3030.3030303030305,296.25905328803685,270.55,0.0
13500.0,0.0,294.0497950261993,270.5,0.0
14400.0,0.0,293.16280337664784,270.45,0.0
15300.0,3030.3030303030305,296.156752349991,270.4057291666667,0.0
16200.0,0.0,293.97486301226616,270.36875,0.0
17100.0,3030.3030303030305,296.42218980967,270.35260416666665,0.0
18000.0,3030.3030303030305,297.04407918621683,270.35,0.0
18900.0,0.0,294.4500857794153,270.3854166666667,0.0
19800.0,3030.3030303030305,296.7562539177252,270.4375,0.0
20700.0,3030.3030303030305,297.32574453429913,270.4979166666667,0.0
21600.0,3030.3030303030305,297.59181197862995,270.55,0.0
22500.0,0.0,294.9218440902117,270.57552083333337,0.0
23400.0,3030.3030303030305,297.18489603216887,270.59375,0.0
24300.0,3030.3030303030305,297.72733779117306,270.61614583333335,0.0
25200.0,0.0,295.0959790901563,270.65,0.0
26100.0,0.0,294.65063298203967,270.7348958333333,0.0
27000.0,3030.3030303030305,297.57272342995657,270.84375,0.0
27900.0,3030.3030303030305,298.2783176312245,270.95677083333334,0.0
28800.0,0.0,295.83293289863286,271.05,0.0
29700.0,3030.3030303030305,297.7322177690754,271.1036458333333,0.0
30600.0,0.0,295.29479838001316,271.15125,0.0
31500.0,3030.3030303030305,297.6268782973586,271.1980208333333,0.0
32400.0,0.0,295.27281652155256,271.25,0.0
33300.0,3030.3030303030305,297.63988205700724,271.3259375,0.0
34200.0,3030.3030303030305,298.2188032561765,271.41125,0.0
35100.0,3030.3030303030305,298.48255416162095,271.4890625,0.0
36000.0,3030.3030303030305,298.59140587680275,271.55,0.0
36900.0,3030.3030303030305,298.78822837696794,271.5619791666667,0.0
37800.0,3030.3030303030305,298.8427483206302,271.55625,0.0
38700.0,0.0,296.7127643609249,271.5463541666667,2.2666666666666666
39600.0,0.0,296.02570132271757,271.55,6.24
40500.0,0.0,295.0860305534022,271.575,11.386666666666667
41400.0,0.0,294.664544546124,271.6,16.0
42300.0,0.0,294.90747658713263,271.625,19.4675
43200.0,3030.3030303030305,298.2400676183261,271.65,22.86
44100.0,0.0,296.26397566129776,271.675,26.0125
45000.0,0.0,295.67810161096435,271.7,29.0
45900.0,0.0,295.3630086391016,271.725,31.2
46800.0,0.0,295.16702638861824,271.75,32.8
47700.0,3030.3030303030305,298.3074113826025,271.775,33.2
48600.0,3030.3030303030305,298.76755489381384,271.8,33.0
49500.0,0.0,296.5996314476984,271.825,31.799999999999997
50400.0,0.0,295.95861006300163,271.85,30.2
51300.0,0.0,295.616214959914,271.9125,27.799999999999997
52200.0,3030.3030303030305,298.602388554052,272.0,25.0
53100.0,0.0,296.55823753975557,272.0875,21.5823529412
54000.0,3030.3030303030305,298.78603510325024,272.15,18.0176470588
54900.0,0.0,296.2893789751545,272.1645833333333,14.441176470599999
55800.0,0.0,295.3464857452255,272.17,11.0
56700.0,3030.3030303030305,298.265350410322,272.1620833333333,7.454656862743334
57600.0,3030.3030303030305,298.71595462173326,272.15,3.88235294118
58500.0,3030.3030303030305,298.77358878537405,272.1330555555,1.3884803921566669
59400.0,3030.3030303030305,298.8172504338087,272.113333333,-1.1102230246251565e-16
60300.0,3030.3030303030305,298.8534972008574,272.08472222216665,0.0
61200.0,3030.3030303030305,298.88474072482956,272.05,0.0
62100.0,3030.3030303030305,298.9119501391464,271.9850694445,0.0
63000.0,3030.3030303030305,298.93513390966797,271.904166667,0.0
63900.0,3030.3030303030305,298.95529298265353,271.82048611116664,0.0
64800.0,3030.3030303030305,298.9738419610291,271.75,0.0
65700.0,3030.3030303030305,298.9919812578336,271.71875,0.0
66600.0,3030.3030303030305,299.01021392824464,271.7,0.0
67500.0,3030.3030303030305,299.0283932909668,271.68125,0.0
68400.0,3030.3030303030305,299.0459258270491,271.65,0.0
69300.0,3030.3030303030305,299.2931226884205,271.59687499999995,0.0
70200.0,3030.3030303030305,299.39478343225016,271.5375,0.0
71100.0,3030.3030303030305,299.4755788473848,271.453125,0.0
72000.0,3030.3030303030305,299.5478789829637,271.35,0.0
72900.0,3030.3030303030305,299.61299659422735,271.225,0.0
73800.0,3030.3030303030305,299.67236294020506,271.1,0.0
74700.0,3030.3030303030305,299.72777654074594,270.975,0.0
75600.0,3030.3030303030305,299.78065020556136,270.85,0.0
